time,type,qty,price
00:00.4,buy,2528372,15
00:00.4,buy,55864,15.15230117
00:01.3,sell,-2121468,15.49535902
00:02.0,sell,-1641421,15.14523109
00:03.0,buy,2896732,15.13902189
00:03.5,buy,701687,15.14295757
00:04.1,sell,-5334823,15.27335587
00:05.1,buy,1795591,15.27251491
00:05.3,sell,-485650,15.33588184
00:06.0,sell,-1486085,15.27242397
00:06.7,buy,1356831,15.22744479
00:07.2,buy,2767972,15.24559412
00:08.1,buy,560585,15.25733165
00:08.4,buy,186280,15.26193766
00:09.0,buy,549743,15.28991507
00:09.4,buy,134041,15.34308837
00:10.2,buy,76751,15.47090219
00:10.8,sell,-4274645,15.4788695
00:10.9,sell,-359604,15.37798889
00:11.4,buy,2350558,15.37644688
00:12.3,buy,868246,15.38216793
00:12.6,sell,-1418494,15.43049628
00:13.2,sell,-2089142,15.40022747
00:13.4,sell,-1465523,15.39548516
00:14.1,sell,-2594791,15.37897456
00:14.3,sell,-209464,15.34743696
00:15.2,buy,8366519,15.28662519
00:15.4,buy,678650,15.32247444
00:15.7,buy,120584,15.32390249
00:16.5,sell,-28219,15.39935046
00:17.3,buy,4294,15.37484164
00:18.1,buy,100824,15.56147048
00:18.8,sell,-3978556,15.75905346
00:19.5,buy,2847288,15.73758358
00:20.2,buy,1130003,15.80139526
00:20.3,buy,22784,15.80186991
00:21.1,buy,185,15.80557662
00:21.4,buy,124,15.83827663
00:21.4,buy,12,15.88821622
00:21.5,sell,-3750,16.09631457
00:21.6,sell,-25198,16.05284889
00:21.8,sell,-145619,16.04604668
00:22.1,sell,-33066,16.02891197
00:22.7,buy,176802,16.00801208
00:23.0,sell,-22547,16.06974564
00:23.1,buy,13412,16.03842103
00:23.4,sell,-2623,16.04410197
00:23.7,buy,34533,15.89093378
00:24.1,sell,-381711,15.92553099
00:24.7,buy,80120,15.87784601
00:25.5,sell,-11,15.90501042
00:26.3,buy,64573,15.82439442
00:26.8,buy,28178,15.8528577
00:26.9,sell,-222937,15.88274129
00:26.9,sell,-151721,15.84442338
00:27.1,buy,288283,15.83168494
00:28.0,sell,-3281311,15.83192815
00:28.2,sell,-6349597,15.7955721
00:29.0,buy,5114151,15.78673458
00:29.9,sell,-1114391,15.80958281
00:30.3,sell,-3689,15.77311434
00:30.9,buy,2233102,15.7672665
00:31.1,sell,-2227,15.76754397
00:31.4,sell,-285074,15.76071661
00:31.5,sell,-84110,15.75653567
00:32.3,buy,3575163,15.75361572
00:32.3,sell,-1933,15.75431226
00:32.5,sell,-266904,15.53966382
00:33.2,sell,-4421988,15.51321612
00:33.6,sell,-1168,15.50898717
00:33.8,sell,-873142,15.50205529
00:34.1,buy,4042945,15.48292866
00:35.1,sell,-105308,15.54738668
00:35.3,sell,-42607,15.52703858
00:36.3,sell,-648641,15.51183439
00:36.9,sell,-2844,15.47116887
00:37.4,sell,-168713,15.46846145
00:38.1,buy,2651862,15.42392293
00:38.9,sell,-2941319,15.64093482
00:39.3,buy,964208,15.63214482
00:40.2,buy,1585462,15.63365943
00:40.7,sell,-4820407,15.65444059
00:40.9,buy,1929210,15.10986087
00:40.9,sell,-2011662,15.17736421
00:41.2,buy,2093248,15.1026156
00:41.3,sell,-2384755,15.17281036
00:41.5,buy,3927912,15.16833228
00:41.7,buy,106995,15.19923088
00:42.5,buy,124887,15.22773319
00:43.5,buy,1383070,15.4408379
00:44.5,buy,265677,15.46269316
00:45.3,sell,-638475,15.55189735
00:46.2,sell,-2003593,15.49787159
00:46.7,sell,-4253,15.49427061
00:46.8,buy,913770,15.45596166
00:47.6,sell,-164,15.463358
00:48.1,sell,-219063,15.36292242
00:48.8,buy,1668580,15.31424756
00:49.2,sell,-1969687,15.39767584
00:49.6,buy,1906871,15.36264749
00:49.7,buy,431731,15.39121039
00:49.9,buy,3535,15.57063464
00:50.0,buy,9836,15.57584905
00:50.6,sell,-801770,15.61585006
00:51.6,sell,-372934,15.59745876
00:52.5,buy,60371,15.58963055
00:52.7,buy,846501,15.59301713
00:53.3,buy,244513,15.59438318
00:53.3,sell,-92287,15.59478747
00:54.2,buy,88068,15.58707254
00:54.9,sell,-13186,15.61090104
00:55.3,sell,-2683967,15.53996412
00:55.5,buy,943978,15.535064
00:55.9,sell,-1544805,15.5688034
